glyph_name,ps_name,sort_final
bassoonRTLowEClosed,uniE1FD,275
bassoonRTLowFSharpClosed,uniE1FE,276
bassoonRTAFlatClosed,uniE1FF,277
bassoonLH1stFingerHalfClosed,uniE200,278
bassoonLH2ndFingerHalfClosed,uniE201,279
bassoonLH3rdFingerHalfClosed,uniE202,280
bassoonRH1stFingerHalfClosed,uniE203,281
bassoonRH2ndFingerHalfClosed,uniE204,282
bassoonLH1stFingerQuarterClosed,uniE205,283
bassoonLH2ndFingerQuarterClosed,uniE206,284
bassoonLH3rdFingerQuarterClosed,uniE207,285
bassoonRH1stFingerQuarterClosed,uniE208,286
bassoonRH2ndFingerQuarterClosed,uniE209,287
bassoonLH1stFingerThreeQuartersClosed,uniE20A,288
bassoonLH2ndFingerThreeQuartersClosed,uniE20B,289
bassoonLH3rdFingerThreeQuartersClosed,uniE20C,290
bassoonRH1stFingerThreeQuartersClosed,uniE20D,291
bassoonRH2ndFingerThreeQuartersClosed,uniE20E,292
bassoonLHHighETrill,uniE20F,293
bassoonLH1stFingerTrill,uniE210,294
bassoonLHHighEFlatTrill,uniE211,295
bassoonLH2ndFingerTrill,uniE212,296
bassoonLH3rdFingerRingTrill,uniE213,297
bassoonLHLowEFlatTrill,uniE214,298
bassoonLHLowDFlatTrill,uniE215,299
bassoonRHCSharpTrillTrill,uniE216,300
bassoonRH1stFingerTrill,uniE217,301
bassoonRH2ndFingerTrill,uniE218,302
bassoonRHBFlatTrillTrill,uniE219,303
bassoonRHLowGTrill,uniE21A,304
bassoonRHLowFTrill,uniE21B,305
bassoonRHFSharpTrill,uniE21C,306
bassoonRHAFlatTrill,uniE21D,307
bassoonLTHighDTrill,uniE21E,308
bassoonLTHighBTrill,uniE21F,309
bassoonLTHighATrill,uniE220,310
bassoonLTCSharpTrill,uniE221,311
bassoonLTWhisperKeyTrill,uniE222,312
bassoonLTLowBFlatTrill,uniE223,313
bassoonLTLowBTrill,uniE224,314
bassoonLTLowCTrill,uniE225,315
bassoonLTLowDTrill,uniE226,316
bassoonRTBFlatTrill,uniE227,317
bassoonRTLowETrill,uniE228,318
bassoonRTLowFSharpTrill,uniE229,319
bassoonRTAFlatTrill,uniE22A,320
saxophoneChart,uniE280,321
saxophoneBaritoneLHLowAOpen,uniE281,322
saxophoneLHOctaveClosed,uniE282,323
saxophoneLHFrontFClosed,uniE283,324
saxophoneLH1stFingerClosed,uniE284,325
saxophoneLHBFlatClosed,uniE285,326
saxophoneLH2ndFingerClosed,uniE286,327
saxophoneLH3rdFingerClosed,uniE287,328
saxophoneLHEFlatPalmClosed,uniE288,329
saxophoneLHDPalmClosed,uniE289,330
saxophoneLHFPalmClosed,uniE28A,331
saxophoneLHGSharpClosed,uniE28B,332
saxophoneLHLowCSharpClosed,uniE28C,333
saxophoneLHLowBClosed,uniE28D,334
saxophoneLHLowBFlatClosed,uniE28E,335
saxophoneRHESideClosed,uniE28F,336
saxophoneRHCSideClosed,uniE290,337
saxophoneRHBFlatSideClosed,uniE291,338
saxophoneRHHighFSharpClosed,uniE292,339
saxophoneRH1stFingerClosed,uniE293,340
saxophoneRH2ndFingerClosed,uniE294,341
saxophoneRHFSharpAlternateClosed,uniE295,342
saxophoneRH3rdFingerClosed,uniE296,343
saxophoneRHLowEFlatClosed,uniE297,344
saxophoneRHLowCClosed,uniE298,345
saxophoneBaritoneLHLowAClosed,uniE299,346
saxophoneLH1stFingerHalfClosed,uniE29A,347
saxophoneLH2ndFingerHalfClosed,uniE29B,348
saxophoneLH3rdFingerHalfClosed,uniE29C,349
saxophoneRH1stFingerHalfClosed,uniE29D,350
saxophoneRH2ndFingerHalfClosed,uniE29E,351
saxophoneRH3rdFingerHalfClosed,uniE29F,352
saxophoneLHOctaveTrill,uniE2A0,353
saxophoneLHFrontFTrill,uniE2A1,354
saxophoneLH1stFingerTrill,uniE2A2,355
saxophoneLHBFlatTrill,uniE2A3,356
saxophoneLH2ndFingerTrill,uniE2A4,357
saxophoneLH3rdFingerTrill,uniE2A5,358
saxophoneLHEFlatPalmTrill,uniE2A6,359
saxophoneLHDPalmTrill,uniE2A7,360
saxophoneLHFPalmTrill,uniE2A8,361
saxophoneLHGSharpTrill,uniE2A9,362
saxophoneLHLowCSharpTrill,uniE2AA,363
saxophoneLHLowBTrill,uniE2AB,364
saxophoneLHLowBFlatTrill,uniE2AC,365
saxophoneRHESideTrill,uniE2AD,366
saxophoneRHCSideTrill,uniE2AE,367
saxophoneRHBFlatSideTrill,uniE2AF,368
saxophoneRHHighFSharpTrill,uniE2B0,369
saxophoneRH1stFingerTrill,uniE2B1,370
saxophoneRH2ndFingerTrill,uniE2B2,371
saxophoneRHFSharpAlternateTrill,uniE2B3,372
saxophoneRH3rdFingerTrill,uniE2B4,373
saxophoneRHLowEFlatTrill,uniE2B5,374
saxophoneRHLowCTrill,uniE2B6,375
saxophoneBaritoneLHLowATrill,uniE2B7,376
recorderChart,uniE320,377
recorderLHThumbClosed,uniE321,378
recorderLH1stFingerClosed,uniE322,379
recorderLH2ndFingerClosed,uniE323,380
recorderLH3rdFingerClosed,uniE324,381
recorderRH1stFingerClosed,uniE325,382
recorderRH2ndFingerClosed,uniE326,383
